singledomain,crossdomain,num
0,"[0, 4]",34
0,"[0, 5]",11
0,"[0, 3, 4]",7
0,"[0, 1, 5, 6]",7
0,"[0, 1, 2, 3, 4, 5, 6]",6
0,"[0, 1]",6
1,"[1, 6]",23
1,"[1, 5, 6]",12
1,"[1, 5]",12
1,"[0, 1, 5, 6]",7
1,"[0, 1, 2, 3, 4, 5, 6]",6
1,"[0, 1]",6
2,"[0, 1, 2, 3, 4, 5, 6]",6
3,"[3, 5]",10
3,"[0, 3, 4]",7
3,"[3, 4]",7
3,"[0, 1, 2, 3, 4, 5, 6]",6
4,"[0, 4]",34
4,"[0, 3, 4]",7
4,"[3, 4]",7
4,"[0, 1, 2, 3, 4, 5, 6]",6
5,"[1, 5, 6]",12
5,"[1, 5]",12
5,"[0, 5]",11
5,"[3, 5]",10
5,"[0, 1, 5, 6]",7
5,"[0, 1, 2, 3, 4, 5, 6]",6
6,"[1, 6]",23
6,"[1, 5, 6]",12
6,"[0, 1, 5, 6]",7
6,"[0, 1, 2, 3, 4, 5, 6]",6
