[2]	159	1
[3]	124	1
[6]	110	1
[5]	104	1
[4]	99	1
[1]	92	1
[0]	73	1
[0, 4]	34	2
[1, 6]	23	2
[1, 5, 6]	12	3
[1, 5]	12	2
[0, 5]	11	2
[3, 5]	10	2
[3, 4]	7	2
[0, 3, 4]	7	3
[0, 1, 5, 6]	7	4
[0, 1, 2, 3, 4, 5, 6]	6	7
[0, 1]	6	2
[2, 3]	5	2
[0, 6]	5	2
[1, 3]	5	2
[0, 4, 5]	4	3
[0, 1, 3, 5, 6]	4	5
[5, 6]	4	2
[0, 1, 4]	4	3
[0, 1, 5]	3	3
[0, 2, 4]	3	3
[2, 6]	3	2
[0, 3]	3	2
[3, 4, 5]	3	3
[0, 1, 2, 3, 4, 6]	3	6
[0, 1, 3, 4, 6]	3	5
[2, 4]	3	2
[0, 5, 6]	2	3
[0, 2, 3, 4]	2	4
[0, 2]	2	2
[0, 1, 3, 4, 5, 6]	2	6
[0, 3, 4, 5]	2	4
[0, 1, 2, 3, 5, 6]	2	6
[0, 1, 3, 4]	1	4
[3, 4, 6]	1	3
[1, 2, 6]	1	3
[0, 3, 4, 5, 6]	1	5
[2, 4, 5]	1	3
[1, 2, 4]	1	3
[0, 1, 4, 5]	1	4
[0, 2, 4, 5]	1	4
[1, 3, 6]	1	3
[0, 4, 6]	1	3
[1, 3, 5, 6]	1	4
[0, 2, 4, 6]	1	4
[1, 3, 5]	1	3
[1, 2, 5]	1	3
[0, 1, 3, 4, 5]	1	5
[4, 6]	1	2
[1, 2, 3, 5, 6]	1	5
[0, 1, 4, 6]	1	4
[0, 1, 6]	1	3
[2, 3, 4, 5]	1	4
[1, 3, 4, 6]	1	4
[1, 4]	1	2
[2, 4, 6]	1	3
[0, 2, 3, 4, 5]	1	5
[0, 3, 5]	1	3
[1, 2]	1	2
[0, 1, 2, 4, 6]	1	5
