Uid,Indegree rank,Group
2656274875,1,Generalist
2803301701,2,Generalist
3937348351,3,Generalist
1974576991,4,Generalist
1499104401,5,Specialist
1887344341,6,Generalist
2280198017,7,Specialist
1618051664,8,Generalist
5467852665,9,Generalist
1403915120,10,Specialist
2328516855,11,Generalist
1497728405,12,Specialist
1886672467,13,Generalist
1912234472,14,Specialist
1728148193,15,Specialist
2810373291,16,Generalist
2286908003,17,Generalist
5133215733,18,Specialist
1742566624,19,Generalist
3099016097,20,Generalist
2549228714,21,Generalist
5533570956,22,Specialist
1642088277,23,Generalist
1686546714,24,Generalist
5035763146,25,Specialist
6049590367,26,Generalist
1571497285,27,Specialist
1654134123,28,Generalist
3939426052,29,Generalist
1823287210,30,Specialist
5939109236,31,Specialist
1784473157,32,Generalist
1368589977,33,Specialist
2348604107,34,Specialist
1960785875,35,Generalist
3837704366,36,Generalist
2001530981,37,Specialist
5899421284,38,Specialist
5707057078,39,Specialist
1935198185,40,Generalist
2144789105,41,Generalist
2203441861,42,Specialist
2748597475,43,Generalist
1195908387,44,Generalist
3280162210,45,Specialist
1231317854,46,Generalist
5940474579,47,Specialist
1105596542,48,Specialist
1768198384,49,Generalist
2206258462,50,Generalist
5973497601,51,Specialist
2609400635,52,Generalist
2123664205,53,Generalist
1595424542,54,Specialist
2482557597,55,Generalist
2097024354,56,Specialist
2173885832,57,Specialist
2099591797,58,Specialist
2794283127,59,Specialist
1709286740,60,Specialist
1416237723,61,Specialist
1714915392,62,Specialist
5044281310,63,Generalist
1644114654,64,Generalist
2219124641,65,Specialist
1699540307,66,Generalist
1893801487,67,Generalist
1340723374,68,Specialist
2181597154,69,Generalist
1496981661,70,Specialist
2202911004,71,Specialist
1640601392,72,Generalist
3775056661,73,Specialist
1656316841,74,Specialist
2611641094,75,Generalist
1698233740,76,Generalist
5611537367,77,Specialist
5602093377,78,Specialist
2394530374,79,Specialist
1699432410,80,Generalist
1891845373,81,Generalist
2811244260,82,Specialist
2119628851,83,Generalist
3305085281,84,Generalist
3625975797,85,Specialist
1665808371,86,Generalist
2713968254,87,Specialist
2150758415,88,Generalist
5729169092,89,Generalist
2375086267,90,Generalist
5370547595,91,Specialist
6004273387,92,Specialist
3917499594,93,Generalist
1662214194,94,Generalist
1866126104,95,Specialist
1847123567,96,Generalist
2834256503,97,Specialist
1740005437,98,Specialist
1298535315,99,Generalist
5126161537,100,Specialist
2134671703,101,Specialist
1267454277,102,Generalist
2804506181,103,Generalist
1817162382,104,Generalist
1885454921,105,Generalist
6014403348,106,Generalist
5941459143,107,Specialist
5611549371,108,Specialist
1732530321,109,Specialist
1830442653,110,Generalist
3712035812,111,Generalist
6022310172,112,Specialist
2002148123,113,Generalist
1763864272,114,Generalist
5041898236,115,Specialist
5398022921,116,Specialist
1803554510,117,Specialist
1709157165,118,Generalist
1663072851,119,Generalist
5202991931,120,Specialist
1323527941,121,Generalist
1975650700,122,Specialist
2891529877,123,Generalist
2077063131,124,Specialist
2342024544,125,Generalist
1864696473,126,Specialist
5664614383,127,Specialist
2382356540,128,Generalist
1755370981,129,Specialist
2587718027,130,Specialist
3161347567,131,Specialist
2751313073,132,Generalist
5295440802,133,Specialist
1267224222,134,Specialist
3021362331,135,Specialist
1900082965,136,Generalist
3031762330,137,Specialist
5075579048,138,Specialist
1236837852,139,Specialist
2905579311,140,Specialist
1989534434,141,Specialist
2149981442,142,Specialist
1859428970,143,Specialist
1265998927,144,Generalist
5568490146,145,Generalist
1968863541,146,Specialist
1866632784,147,Specialist
3216449381,148,Specialist
1314608344,149,Generalist
5019835745,150,Specialist
1653603955,151,Generalist
3579155041,152,Generalist
1291477752,153,Generalist
1871802012,154,Generalist
5577317154,155,Specialist
1555113427,156,Specialist
3710258141,157,Specialist
1488228740,158,Specialist
2681256780,159,Specialist
1939140487,160,Specialist
3095347225,161,Generalist
1411482802,162,Specialist
2270955383,163,Specialist
1442246695,164,Generalist
1806089637,165,Specialist
5721200433,166,Specialist
3765124653,167,Specialist
5598304842,168,Specialist
1198367585,169,Specialist
5253090679,170,Generalist
2632955282,171,Generalist
2993049293,172,Generalist
1845003657,173,Specialist
5681482843,174,Specialist
3229125510,175,Generalist
2806576785,176,Specialist
1850145517,177,Specialist
5590704704,178,Generalist
5497993620,179,Generalist
1134796120,180,Generalist
2757691921,181,Specialist
1670458304,182,Generalist
1195354434,183,Generalist
1700648435,184,Generalist
3085327787,185,Generalist
3087624011,186,Specialist
1617093763,187,Specialist
1894445180,188,Specialist
1863185713,189,Generalist
1045269490,190,Specialist
3413668640,191,Specialist
1686199162,192,Specialist
1880317385,193,Specialist
2064746795,194,Specialist
2288735533,195,Specialist
3794240230,196,Specialist
2164154963,197,Specialist
1259110474,198,Specialist
5386897742,199,Specialist
1240246333,200,Specialist
