Uid,Indegree rank,Group
2656274875,1,Generalist
1974576991,2,Generalist
2803301701,3,Generalist
1618051664,4,Generalist
5590704704,5,Generalist
1887344341,6,Generalist
1709157165,7,Generalist
1893801487,8,Generalist
3937348351,9,Generalist
2549228714,10,Generalist
1642088277,11,Generalist
1537790411,12,Generalist
2243807243,13,Generalist
3099016097,14,Generalist
1935198185,15,Generalist
5603237555,16,Specialist
6002842109,17,Specialist
2143324323,18,Specialist
1698233740,19,Generalist
1886672467,20,Generalist
5969581482,21,Specialist
2804506181,22,Generalist
1686546714,23,Generalist
1817162382,24,Generalist
1993305471,25,Generalist
3921730119,26,Specialist
1649159940,27,Generalist
1570308924,28,Generalist
2810373291,29,Generalist
3229125510,30,Generalist
2328516855,31,Generalist
2181597154,32,Generalist
2286908003,33,Generalist
1742566624,34,Generalist
1323527941,35,Generalist
1191965271,36,Generalist
3876734080,37,Specialist
1816029971,38,Generalist
5241532897,39,Specialist
1644114654,40,Generalist
3927042907,41,Specialist
1329471713,42,Specialist
2150758415,43,Generalist
1195908387,44,Generalist
6014403348,45,Generalist
2213526752,46,Specialist
5467852665,47,Generalist
1788911247,48,Generalist
1654134123,49,Generalist
3939426052,50,Generalist
2309846073,51,Generalist
2123664205,52,Generalist
1819935727,53,Specialist
1442246695,54,Generalist
2891529877,55,Generalist
5524008509,56,Specialist
1904228041,57,Specialist
2632955282,58,Generalist
6033930155,59,Generalist
2206258462,60,Generalist
5346801743,61,Specialist
5340011128,62,Specialist
2050149565,63,Specialist
1784473157,64,Generalist
2981083181,65,Specialist
2855852714,66,Specialist
1763351504,67,Specialist
2028810631,68,Generalist
1827683445,69,Generalist
1267454277,70,Generalist
2611704935,71,Specialist
1733879143,72,Specialist
2335625480,73,Specialist
2673726341,74,Specialist
2611641094,75,Generalist
1640337222,76,Generalist
1960785875,77,Generalist
1739732501,78,Specialist
1743951792,79,Specialist
1643971635,80,Generalist
3095347225,81,Generalist
1662214194,82,Generalist
5729169092,83,Generalist
1774057271,84,Generalist
2382356540,85,Generalist
5100758422,86,Specialist
1195354434,87,Generalist
2482557597,88,Generalist
3952362964,89,Specialist
1805982651,90,Generalist
2728296497,91,Specialist
5999243797,92,Specialist
1847123567,93,Generalist
3694863325,94,Specialist
3508092614,95,Specialist
1596329427,96,Specialist
2949264292,97,Specialist
1134796120,98,Generalist
2202387347,99,Generalist
5582937157,100,Specialist
1496260095,101,Specialist
2462605080,102,Generalist
1875034341,103,Generalist
1699432410,104,Generalist
2002148123,105,Generalist
1663937380,106,Generalist
3660593213,107,Generalist
2342024544,108,Generalist
5029399338,109,Specialist
2269103954,110,Specialist
5044281310,111,Generalist
2240574632,112,Specialist
1705564917,113,Specialist
1935167034,114,Generalist
2133521832,115,Specialist
1402138343,116,Specialist
1652184490,117,Specialist
1265998927,118,Generalist
3477513373,119,Specialist
2141791335,120,Generalist
3869601985,121,Specialist
1791542762,122,Specialist
2118199994,123,Specialist
5193633355,124,Specialist
3085327787,125,Generalist
1663072851,126,Generalist
2852761965,127,Specialist
1741069204,128,Specialist
3740976897,129,Specialist
2074685151,130,Specialist
3716243842,131,Generalist
1737588567,132,Generalist
2615417307,133,Specialist
2397991440,134,Generalist
2375086267,135,Generalist
1885454921,136,Generalist
3500618431,137,Specialist
2475574571,138,Specialist
1686815607,139,Generalist
1640601392,140,Generalist
5212952283,141,Specialist
1781845841,142,Specialist
2772291221,143,Generalist
1677318422,144,Specialist
2180593614,145,Specialist
2641686425,146,Specialist
3837704366,147,Generalist
5886488831,148,Specialist
1808576352,149,Specialist
2192606857,150,Specialist
2018980260,151,Specialist
2936882141,152,Specialist
2301729557,153,Specialist
2632236847,154,Specialist
1871802012,155,Generalist
1665808371,156,Generalist
1891845373,157,Generalist
3986933335,158,Generalist
3788301822,159,Generalist
2718604160,160,Generalist
1649173367,161,Generalist
1644225642,162,Specialist
1298535315,163,Generalist
2173291530,164,Specialist
3176068101,165,Specialist
1653689003,166,Specialist
3229476653,167,Specialist
1909203062,168,Specialist
1314608344,169,Generalist
2589460084,170,Specialist
2144789105,171,Generalist
2626682903,172,Generalist
1697601814,173,Generalist
5657732501,174,Specialist
1763864272,175,Generalist
5765378903,176,Specialist
1721449743,177,Specialist
3579155041,178,Generalist
6019918741,179,Generalist
1699540307,180,Generalist
1832447572,181,Specialist
3002792573,182,Specialist
3177527181,183,Generalist
3881132085,184,Specialist
1895431523,185,Specialist
2219227283,186,Specialist
2612183504,187,Specialist
5540466595,188,Specialist
1416739583,189,Specialist
2539961154,190,Generalist
5346645534,191,Specialist
3066750095,192,Specialist
1593933550,193,Specialist
3142625147,194,Specialist
2710249981,195,Specialist
1093897112,196,Specialist
1900082965,197,Generalist
3508096141,198,Specialist
3537136501,199,Generalist
1992613670,200,Specialist
