Uid,Indegree rank,Group
2803301701,1,Generalist
1742566624,2,Generalist
3099016097,3,Generalist
2656274875,4,Generalist
2709577332,5,Generalist
2891529877,6,Generalist
1705180884,7,Generalist
1642591402,8,Specialist
2286908003,9,Generalist
3229125510,10,Generalist
1713926427,11,Generalist
3217179555,12,Generalist
1764222885,13,Generalist
1974576991,14,Generalist
3069348215,15,Generalist
2141823055,16,Generalist
2549228714,17,Generalist
2182038504,18,Generalist
1314608344,19,Generalist
2142168143,20,Generalist
1644395354,21,Generalist
3305085281,22,Generalist
1740577714,23,Generalist
2714280233,24,Generalist
2482557597,25,Generalist
2970036311,26,Generalist
1618051664,27,Generalist
1768198384,28,Generalist
1662214194,29,Generalist
1258256457,30,Specialist
1757353251,31,Specialist
2243807243,32,Generalist
1097201945,33,Generalist
1642088277,34,Generalist
3948713134,35,Generalist
2140227493,36,Generalist
3900215081,37,Generalist
2430259303,38,Generalist
1615743184,39,Generalist
5044281310,40,Generalist
2718604160,41,Generalist
1784473157,42,Generalist
3937348351,43,Generalist
2247164142,44,Generalist
1644114654,45,Generalist
1344386244,46,Specialist
3167305545,47,Generalist
2478838621,48,Specialist
1788911247,49,Generalist
5220839587,50,Specialist
1805982651,51,Generalist
2835724503,52,Generalist
1886419032,53,Generalist
1895964183,54,Generalist
3044746573,55,Generalist
1195908387,56,Generalist
2328516855,57,Generalist
3641513235,58,Generalist
1738932247,59,Generalist
2214257545,60,Specialist
2309846073,61,Generalist
3929428825,62,Specialist
1774662372,63,Generalist
3177527181,64,Generalist
1789834424,65,Generalist
1887344341,66,Generalist
2150511032,67,Generalist
5497993620,68,Generalist
5675449379,69,Specialist
1778181861,70,Generalist
2123664205,71,Generalist
1191965271,72,Generalist
1134796120,73,Generalist
1623886424,74,Specialist
2141791335,75,Generalist
2141334915,76,Specialist
2080114694,77,Generalist
1642512402,78,Generalist
2028810631,79,Generalist
1791867263,80,Generalist
2166792032,81,Generalist
1886903325,82,Specialist
2057769762,83,Specialist
5135808743,84,Generalist
5909185172,85,Generalist
1323527941,86,Generalist
1830442653,87,Generalist
1653603955,88,Generalist
1742741072,89,Specialist
5466594184,90,Specialist
5587568550,91,Specialist
2143579695,92,Specialist
