Uid,lg(Indegree rank),lg(Activity),lg(Followers),Cross-domain capability,V-1,V0,V1,V2,V3,male,female
2803301701,0.0,3.617524534886292,7.6912370761210775,7,0,0,0,0,1,1,0
1742566624,0.30102999566398114,3.750662646134055,7.250216690270066,7,0,1,0,0,0,1,0
3099016097,0.47712125471966244,3.1338581252033344,7.100938892031218,5,0,1,0,0,0,0,1
2656274875,0.6020599913279623,3.599337132992489,7.667539046739248,7,0,0,0,0,1,1,0
2709577332,0.6989700043360187,3.457427692946484,6.908763735757602,3,0,1,0,0,0,0,1
2891529877,0.7781512503836435,3.087426457036285,7.167691700637279,5,0,1,0,0,0,1,0
1705180884,0.8450980400142567,2.1789769472931693,7.567081632205809,3,0,1,0,0,0,1,0
1642591402,0.9030899869919434,3.4560622244549513,7.296693352687525,1,0,0,0,0,1,0,1
2286908003,0.9542425094393249,3.7846172926328747,7.552410567794856,7,0,0,0,0,1,1,0
3229125510,1.0,3.0464951643347082,7.156706274514143,5,0,1,0,0,0,1,0
1713926427,1.041392685158225,3.248953615495707,7.547993138710429,4,1,0,0,0,0,0,1
3217179555,1.0791812460476247,3.1078880251827985,7.439473240365346,3,0,1,0,0,0,1,0
1764222885,1.1139433523068367,3.265996370495079,7.417657079935325,3,0,1,0,0,0,1,0
1974576991,1.1461280356782377,3.735359333001711,6.728980418483176,7,0,0,0,0,1,1,0
3069348215,1.1760912590556811,3.1613680022349744,7.053891657111208,3,0,1,0,0,0,1,0
2141823055,1.2041199826559246,3.185825359612962,6.777263659425352,2,0,1,0,0,0,1,0
2549228714,1.2304489213782739,3.087781417809542,6.749401346922628,6,0,1,0,0,0,1,0
2182038504,1.2552725051033058,2.946943270697825,7.155460598339371,3,0,1,0,0,0,0,1
1314608344,1.2787536009528289,3.589279221235967,7.447758787776109,6,0,0,0,0,1,1,0
2142168143,1.301029995663981,3.2164298308762507,7.042846202601623,4,0,1,0,0,0,0,1
1644395354,1.322219294733919,3.2054750367408906,7.223618813601456,2,0,1,0,0,0,1,0
3305085281,1.3424226808222062,3.2260841159758233,6.651166033016359,5,0,1,0,0,0,1,0
1740577714,1.3617278360175928,3.4337698339248655,6.908043207886168,2,0,1,0,0,0,0,1
2714280233,1.380211241711606,2.1205739312058496,7.300577768313291,2,0,1,0,0,0,0,1
2482557597,1.3979400086720375,3.8760445502460947,6.7782071260123935,6,0,1,0,0,0,1,0
2970036311,1.414973347970818,2.7902851640332416,6.70495159161845,2,0,1,0,0,0,1,0
1618051664,1.4313637641589871,3.236033147117636,7.709197711097178,4,0,0,0,0,1,0,1
1768198384,1.447158031342219,2.4132997640812515,7.0750572464599735,3,0,0,0,1,0,0,1
